2017-07-01 03:00:10	temp	28-000006041ddd	box	24.5
2017-07-01 03:00:11	temp	28-000006767bdb	rot	23.6
2017-07-01 03:00:12	temp	28-0000067887d5	gelb	20.2
2017-07-01 03:00:13	temp	28-0000068a414a	blau	14.0
2017-07-01 03:00:15	humidity	AM2302-140903756	box	51.60
2017-07-01 03:00:16	pressure	BMP180	box	98710.00
2017-07-01 03:00:16	temp	piBoard	piBoard	54.6
2017-07-01 03:10:11	temp	28-000006041ddd	box	24.5
2017-07-01 03:10:12	temp	28-000006767bdb	rot	23.6
2017-07-01 03:10:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 03:10:14	temp	28-0000068a414a	blau	13.8
2017-07-01 03:10:15	humidity	AM2302-140903756	box	51.80
2017-07-01 03:10:16	pressure	BMP180	box	98717.00
2017-07-01 03:10:16	temp	piBoard	piBoard	54.6
2017-07-01 03:20:12	temp	28-000006041ddd	box	24.5
2017-07-01 03:20:13	temp	28-000006767bdb	rot	23.6
2017-07-01 03:20:14	temp	28-0000067887d5	gelb	20.2
2017-07-01 03:20:15	temp	28-0000068a414a	blau	13.4
2017-07-01 03:20:18	humidity	AM2302-140903756	box	52.20
2017-07-01 03:20:19	pressure	BMP180	box	98719.00
2017-07-01 03:20:19	temp	piBoard	piBoard	55.1
2017-07-01 03:30:11	temp	28-000006041ddd	box	24.5
2017-07-01 03:30:12	temp	28-000006767bdb	rot	23.6
2017-07-01 03:30:12	temp	28-0000067887d5	gelb	20.1
2017-07-01 03:30:14	temp	28-0000068a414a	blau	13.6
2017-07-01 03:30:16	humidity	AM2302-140903756	box	52.10
2017-07-01 03:30:17	pressure	BMP180	box	98706.00
2017-07-01 03:30:17	temp	piBoard	piBoard	54.6
2017-07-01 03:40:11	temp	28-000006041ddd	box	24.4
2017-07-01 03:40:12	temp	28-000006767bdb	rot	23.6
2017-07-01 03:40:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 03:40:14	temp	28-0000068a414a	blau	13.6
2017-07-01 03:40:16	humidity	AM2302-140903756	box	52.40
2017-07-01 03:40:18	pressure	BMP180	box	98711.00
2017-07-01 03:40:18	temp	piBoard	piBoard	55.1
2017-07-01 03:50:11	temp	28-000006041ddd	box	24.4
2017-07-01 03:50:12	temp	28-000006767bdb	rot	23.5
2017-07-01 03:50:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 03:50:14	temp	28-0000068a414a	blau	13.6
2017-07-01 03:50:16	humidity	AM2302-140903756	box	52.40
2017-07-01 03:50:17	pressure	BMP180	box	98713.00
2017-07-01 03:50:17	temp	piBoard	piBoard	54.6
2017-07-01 04:00:11	temp	28-000006041ddd	box	24.4
2017-07-01 04:00:12	temp	28-000006767bdb	rot	23.5
2017-07-01 04:00:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:00:14	temp	28-0000068a414a	blau	13.2
2017-07-01 04:00:15	humidity	AM2302-140903756	box	52.50
2017-07-01 04:00:16	pressure	BMP180	box	98716.00
2017-07-01 04:00:16	temp	piBoard	piBoard	54.1
2017-07-01 04:10:11	temp	28-000006041ddd	box	24.4
2017-07-01 04:10:12	temp	28-000006767bdb	rot	23.5
2017-07-01 04:10:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:10:14	temp	28-0000068a414a	blau	13.1
2017-07-01 04:10:16	humidity	AM2302-140903756	box	52.50
2017-07-01 04:10:17	pressure	BMP180	box	98720.00
2017-07-01 04:10:17	temp	piBoard	piBoard	53.5
2017-07-01 04:20:11	temp	28-000006041ddd	box	24.4
2017-07-01 04:20:12	temp	28-000006767bdb	rot	23.5
2017-07-01 04:20:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:20:13	temp	28-0000068a414a	blau	13.2
2017-07-01 04:20:15	humidity	AM2302-140903756	box	52.70
2017-07-01 04:20:16	pressure	BMP180	box	98722.00
2017-07-01 04:20:16	temp	piBoard	piBoard	54.1
2017-07-01 04:30:11	temp	28-000006041ddd	box	24.4
2017-07-01 04:30:12	temp	28-000006767bdb	rot	23.5
2017-07-01 04:30:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:30:14	temp	28-0000068a414a	blau	13.3
2017-07-01 04:30:15	humidity	AM2302-140903756	box	52.80
2017-07-01 04:30:16	pressure	BMP180	box	98716.00
2017-07-01 04:30:16	temp	piBoard	piBoard	54.1
2017-07-01 04:40:10	temp	28-000006041ddd	box	24.4
2017-07-01 04:40:11	temp	28-000006767bdb	rot	23.5
2017-07-01 04:40:12	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:40:13	temp	28-0000068a414a	blau	13.2
2017-07-01 04:40:14	humidity	AM2302-140903756	box	52.90
2017-07-01 04:40:15	pressure	BMP180	box	98720.00
2017-07-01 04:40:16	temp	piBoard	piBoard	54.6
2017-07-01 04:50:11	temp	28-000006041ddd	box	24.4
2017-07-01 04:50:13	temp	28-000006767bdb	rot	23.5
2017-07-01 04:50:13	temp	28-0000067887d5	gelb	20.1
2017-07-01 04:50:14	temp	28-0000068a414a	blau	13.3
2017-07-01 04:50:16	humidity	AM2302-140903756	box	53.00
2017-07-01 04:50:17	pressure	BMP180	box	98723.00
